Sample,Island,Fish_Taxonomy,Host species,Trophic guild ,Tissue,Eukaryota_Alveolinidae,Eukaryota_Anomalinidae,Eukaryota_Aulacanthidae,Eukaryota_Aulacodiscaceae,Eukaryota_Bacillariaceae,Eukaryota_Bathysiphonidae,Eukaryota_Berkeleyaceae,Eukaryota_Bodonidae,Eukaryota_Bolivinitidae,Eukaryota_Buliminoididae,Eukaryota_Ceratocystidaceae,Eukaryota_Chaetocerotaceae,Eukaryota_Chilostomellidae,Eukaryota_Chordariaceae,Eukaryota_Cibicididae,Eukaryota_Condylostomatidae,Eukaryota_Coscinodiscaceae,Eukaryota_Cryptosporidiidae,Eukaryota_Cymatosiraceae,Eukaryota_Cymbaloporidae,Eukaryota_Cymbellaceae,Eukaryota_Desmarestiaceae,Eukaryota_Dictyotaceae,Eukaryota_Didymellaceae,Eukaryota_Dinophysiaceae,Eukaryota_Dorataspididae,Eukaryota_Eimeriidae,Eukaryota_Elphidiidae,Eukaryota_Enterocytozoonidae,Eukaryota_Euplotidae,Eukaryota_Fragilariaceae,Eukaryota_Gigartinaceae,Eukaryota_Glabratellidae,Eukaryota_Globigerinidae,Eukaryota_Globorotaliidae,Eukaryota_Glugeidae,Eukaryota_Goniodomataceae,Eukaryota_Gonyaulacaceae,Eukaryota_Gymnodiniaceae,Eukaryota_Hauerinidae,Eukaryota_Hemiaulaceae,Eukaryota_Hemidiscaceae,Eukaryota_Heterocapsaceae,Eukaryota_Hyalodiscaceae,Eukaryota_Hypotrichomonadidae,Eukaryota_Ichthyobodonidae,Eukaryota_Lithodesmiaceae,Eukaryota_Malasseziaceae,Eukaryota_Mastogloiaceae,Eukaryota_Mesodiniidae,Eukaryota_Mikrocytiidae,Eukaryota_Miliolidae,Eukaryota_Naviculaceae,Eukaryota_Neidiaceae,Eukaryota_Nummulitidae,Eukaryota_Odontellaceae,Eukaryota_Omphalotaceae,Eukaryota_Oodiniaceae,Eukaryota_Ostreopsidaceae,Eukaryota_Paraliaceae,Eukaryota_Peridiniaceae,Eukaryota_Pfiesteriaceae,Eukaryota_Phaeocystaceae,Eukaryota_Philasteridae,Eukaryota_Phyllostauridae,Eukaryota_Pinnulariaceae,Eukaryota_Planorbulinidae,Eukaryota_Pleurosigmataceae,Eukaryota_Protoceratiaceae,Eukaryota_Protoperidiniaceae,Eukaryota_Rhizosoleniaceae,Eukaryota_Rosalinidae,Eukaryota_Rotaliidae,Eukaryota_Sargassaceae,Eukaryota_Scytomonadidae,Eukaryota_Sellaphoraceae,Eukaryota_Simplicimonadidae,Eukaryota_Skeletonemataceae,Eukaryota_Soritidae,Eukaryota_Sphacelariaceae,Eukaryota_Sporidesmiaceae,Eukaryota_Spraguidae,Eukaryota_Staurosiraceae,Eukaryota_Stictocyclaceae,Eukaryota_Striatellaceae,Eukaryota_Suessiaceae,Eukaryota_Surirellaceae,Eukaryota_Symbiodiniaceae,Eukaryota_Syndiniaceae,Eukaryota_Tetramicriidae,Eukaryota_Thalassiosiraceae,Eukaryota_Thoracosphaeraceae,Eukaryota_Toxariaceae,Eukaryota_Triceratiaceae,Eukaryota_Trichodinidae,Eukaryota_Trypanosomatidae,Eukaryota_Ulnariaceae,Eukaryota_Unikaryonidae,Eukaryota_Vahlkampfiidae,Eukaryota_Vorticellidae,Eukaryota_Zoothamniidae
LI45_results.ccm.csv,Lizard,Gobiidae,Cryptocentrus strigilliceps,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI33_results.ccm.csv,Lizard,Gobiidae,Eviota albolineata,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0
LI61_results.ccm.csv,Lizard,Gobiidae,Eviota melasma,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0
RF20_results.ccm.csv,Orpheus,Gobiidae,Eviota melasma,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.81,0,0,0,0
LI69_results.ccm.csv,Lizard,Gobiidae,Eviota prasites,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61
LI73_results.ccm.csv,Lizard,Gobiidae,Eviota queenslandica,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI68_results.ccm.csv,Lizard,Gobiidae,Eviota sparsa,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF24_results.ccm.csv,Orpheus,Gobiidae,Eviota zebrina,Omnivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0
RF25_results.ccm.csv,Orpheus,Gobiidae,Exyrias sp.,Omnivore,Whole,0.72,0.54,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,1.03,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
LI15_results.ccm.csv,Lizard,Gobiidae,Fusigobius signipinnis,Mobile invertivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RF27_results.ccm.csv,Orpheus,Gobiidae,Fusigobius signipinnis,Mobile invertivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF29_results.ccm.csv,Orpheus,Gobiidae,Gobiodon histrio,Sessile invertivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RF30_results.ccm.csv,Orpheus,Gobiidae,Gobiodon okinawae,Sessile invertivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0
LI79_results.ccm.csv,Lizard,Gobiidae,Gobiodon quinquestrigatus,Sessile invertivore,Whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
